Category,Common name,Scientific name,Growth form,Will you grow it?,Hardiness range,Zone 7 fit,Sun,Water,Harvest window,Harvest difficulty (1-5),Tastiness (1-5),Productivity (1-5),Edible parts / uses,Notes,Propagation,Nitrogen fixer
"Roots, tubers & rhizomes",Burdock / greater burdock,Arctium lappa,Biennial,,3-9,Wild in zone 7,Sun - part shade,Moderate,Fall - spring (year 1 roots),3,3,2,Roots; peeled leaf stalks,"Status: wild naturalized and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: earthy, sweet, artichoke-like root. Best prep: dig first-year roots; peel and simmer, roast, or stir-fry; blanch peeled stalks. Cautions: second-year roots get woody; burrs spread easily.",Seed,No
"Roots, tubers & rhizomes",Evening primrose,Oenothera biennis,Biennial,,4-9,Wild in zone 7,Full sun,Low - moderate,Fall roots; spring shoots,3,3,2,Roots; young leaves; flower buds,Status: wild native and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: peppery greens and mildly sweet root. Best prep: use first-year roots cooked; harvest young greens before they toughen. Notes: Often persists by reseeding in open ground..,Seed,No
"Roots, tubers & rhizomes",Parsnip,Pastinaca sativa,Biennial,,3-9,Locally reliable self-seeder,Full sun,Moderate,Fall - spring (year 1 roots),3,4,3,Roots,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: sweet, nutty, carrot-like. Best prep: dig after frost for sweeter roots; roast, mash, or add to soups. Cautions: foliage and sap can cause phytophotodermatitis.",Seed,No
"Roots, tubers & rhizomes",Salsify,Tragopogon porrifolius,Biennial,,4-8,Reliable self-seeder,Full sun,Moderate,Fall - spring,3,4,2,Roots; shoots; flower buds,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: mild, sweet, oyster-like root. Best prep: dig in the first year; peel roots and cook gently or use young shoots.",Seed,No
"Roots, tubers & rhizomes",Wild carrot / Queen Anne's lace,Daucus carota,Biennial,,3-9,Wild in zone 7,Full sun,Low - moderate,Fall - spring (young roots),3,2,2,Young roots; flowers; seeds,"Status: wild naturalized. Tastiness: mainly considered useful rather than notably tasty. Flavor: carroty when very young, then fibrous. Best prep: use only first-year roots while small; seeds can be used as a spice. Cautions: dangerous lookalikes include poison hemlock.",Seed,No
Leafy greens,Chickweed,Stellaria media,Winter annual,,4-9,Reliable self-seeder,Sun - part shade,Moderate - moist,Cool seasons,1,4,4,Leaves; stems; flowers,"Status: wild naturalized and cultivated. Tastiness: generally regarded as tasty. Flavor: mild, juicy, corn-silk-like. Best prep: best fresh in salads, sandwiches, or lightly wilted.",Seed,No
Leafy greens,Common mallow / cheeseweed,Malva neglecta,Annual/biennial,,4-9,Wild in zone 7,Sun - part shade,Low - moderate,Spring - fall,1,3,4,Leaves; immature fruits,"Status: wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild and mucilaginous. Best prep: best mixed into soups, sauteed greens, or used young in salads. Cautions: texture can be slippery if overused.",Seed,No
Leafy greens,Corn salad / mache,Valerianella locusta,Winter annual,,5-8,Reliable self-seeder,Sun - part shade,Moderate,Cool seasons,1,4,4,Leaves,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: mild, nutty, tender. Best prep: harvest whole rosettes in cool weather for salads.",Seed,No
Leafy greens,Garden arugula / rocket,Eruca vesicaria,Annual,,4-9,Reliable self-seeder,Full sun,Moderate,Spring - fall,1,4,4,Leaves; flowers,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: peppery, nutty. Best prep: best young in salads or quickly wilted. Cautions: older leaves get much hotter.",Seed,No
Leafy greens,Garden lettuce / volunteer lettuce,Lactuca sativa,Annual,,5-9,Locally reliable self-seeder,Sun - part shade,Moderate,Spring - early summer; fall,1,4,4,Leaves,Status: cultivated. Tastiness: generally regarded as tasty. Flavor: mild to pleasantly bitter depending on strain. Best prep: use volunteers young; quality varies because seedlings may not match the parent strain. Cautions: volunteers can revert or vary in quality.,Seed,No
Leafy greens,Garden orache,Atriplex hortensis,Annual,,4-9,Reliable self-seeder,Full sun,Moderate,Summer,1,4,4,Leaves; young tips,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: mild, spinach-like, slightly salty. Best prep: use as cut-and-come-again greens or wilt larger leaves.",Seed,No
Leafy greens,Garlic mustard,Alliaria petiolata,Biennial,,5-8,Volunteer risk,Part shade - shade,Moderate,Spring leaves; spring flowers; early summer pods,1,3,4,Leaves; flowers; seed pods; roots,"Status: wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: garlicky, mustardy, sometimes bitter with age. Best prep: use very young leaves for pesto or saute; flowers and tender pods are milder than mature leaves. Cautions: highly invasive in eastern woodlands.",Seed,No
Leafy greens,Hairy bittercress,Cardamine hirsuta,Annual/biennial,,4-9,Wild in zone 7,Sun - part shade,Moderate,Cool seasons,1,3,3,Leaves; flowers,"Status: wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: peppery, sharp. Best prep: use sparingly raw like cress or blend into herb sauces.",Seed,No
Leafy greens,Lamb's quarters,Chenopodium album,Annual,,3-10,Volunteer risk,Full sun,Low - moderate,Spring - fall,1,4,5,Leaves; young tips; seeds,"Status: wild naturalized and cultivated. Tastiness: generally regarded as tasty. Flavor: mild, spinach-like. Best prep: use young leaves fresh or cooked; seeds can be cleaned and cooked like a pseudograin. Cautions: contains oxalates; excess nitrates can accumulate in rich soils.",Seed,No
Leafy greens,Magenta spreen / tree spinach,Chenopodium giganteum,Annual,,4-9,Locally reliable self-seeder,Full sun - part shade,Moderate,Spring - fall,1,4,5,Leaves; shoots; seeds,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: mild, spinach-like. Best prep: harvest repeatedly as cut-and-come-again greens; older leaves cook best. Cautions: contains oxalates.",Seed,No
Leafy greens,Miner's lettuce,Claytonia perfoliata,Annual,,5-9,Locally reliable self-seeder,Part shade,Moderate,Spring,1,4,4,Leaves; stems,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: mild, succulent, slightly sweet. Best prep: best fresh as salad greens while plants are tender. Cautions: fades quickly in heat.",Seed,No
Leafy greens,Redroot pigweed,Amaranthus retroflexus,Annual,,3-10,Wild in zone 7,Full sun,Low - moderate,Summer - fall,1,3,4,Leaves; young tips; seeds,"Status: wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: green, earthy, similar to stronger spinach. Best prep: use young leaves cooked or wilted; seeds can be toasted or porridge-cooked. Cautions: nitrates can accumulate in stressed or heavily manured plants.",Seed,No
Leafy greens,Shepherd's purse,Capsella bursa-pastoris,Annual/biennial,,4-9,Wild in zone 7,Sun - part shade,Low - moderate,Cool seasons,1,3,3,Leaves; young shoots; seed pods,"Status: wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: peppery, cress-like. Best prep: use young rosettes raw or cooked; pods can be used as a spicy garnish.",Seed,No
Leafy greens,Wild lettuce,Lactuca serriola,Annual/biennial,,5-9,Wild in zone 7,Full sun,Low - moderate,Spring,1,2,2,Young leaves,Status: wild naturalized. Tastiness: mainly considered useful rather than notably tasty. Flavor: very bitter. Best prep: only the youngest leaves are worthwhile; best mixed with milder greens. Cautions: milky sap and bitterness limit use.,Seed,No
Leafy greens,Yellow rocket / wintercress,Barbarea vulgaris,Biennial/short-lived,,4-8,Wild in zone 7,Sun - part shade,Moderate,Spring,1,3,3,Young leaves; flower buds,"Status: wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mustardy, sometimes bitter. Best prep: use early spring leaves and buds before flowering for the best flavor. Cautions: older leaves become bitter.",Seed,No
"Shoots, stalks & flower vegetables",Black mustard,Brassica nigra,Annual,,5-9,Volunteer risk,Full sun,Low - moderate,Spring - early summer,1,3,4,Leaves; flower shoots; seeds,Status: wild naturalized and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: strong mustard heat. Best prep: use young greens cooked or raw in small amounts; seeds can be used as spice. Cautions: can self-sow aggressively.,Seed,No
"Shoots, stalks & flower vegetables",Calendula,Calendula officinalis,Annual,,5-10,Reliable self-seeder,Full sun,Moderate,Summer - fall,1,3,4,Petals; young leaves,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: resinous petals, mild to bitter leaves. Best prep: use petals fresh or dried as a garnish or colorant; harvest leaves very young. Cautions: main value is culinary color and repeated bloom.",Seed,No
"Shoots, stalks & flower vegetables",Mizuna / Japanese mustard greens,Brassica rapa var. nipposinica,Annual/biennial,,5-9,Reliable self-seeder,Full sun - part shade,Moderate,Spring - fall,1,4,5,Leaves; flower shoots,Status: cultivated. Tastiness: generally regarded as tasty. Flavor: mild mustard bite. Best prep: cut repeatedly while young; flowering stems are also good cooked.,Seed,No
"Shoots, stalks & flower vegetables",Mustard greens,Brassica juncea,Annual,,5-9,Reliable self-seeder,Full sun,Moderate,Spring - fall,1,4,5,Leaves; flower shoots; young seed pods,Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: mustardy and pungent. Best prep: cut repeatedly while young; flower shoots are good lightly cooked.,Seed,No
"Shoots, stalks & flower vegetables",Nasturtium,Tropaeolum majus,Annual,,6-10,Locally reliable self-seeder,Full sun,Moderate,Summer - fall,1,4,4,Leaves; flowers; green seeds,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: peppery, watercress-like. Best prep: use fresh leaves and flowers, or pickle the green seeds as faux capers. Cautions: volunteer behavior depends on winter and soil exposure.",Seed,No
"Shoots, stalks & flower vegetables",Radish,Raphanus sativus,Annual,,4-9,Locally reliable self-seeder,Full sun,Moderate,Spring - summer; fall,2,4,4,Roots; leaves; seed pods,Status: cultivated. Tastiness: generally regarded as tasty. Flavor: peppery roots and leaves; crisp pods. Best prep: volunteer roots are best harvested small; pods are often the best use from self-sown plants. Cautions: roots turn woody fast in heat.,Seed,No
"Shoots, stalks & flower vegetables",Wild mustard / charlock,Sinapis arvensis,Annual,,4-9,Wild in zone 7,Full sun,Low - moderate,Spring - early summer,1,3,4,Leaves; flower buds; young seed pods,"Status: wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mustardy, peppery. Best prep: harvest before flowering for milder greens; buds cook like tiny broccoli. Cautions: older plants become fibrous and hot.",Seed,No
"Shoots, stalks & flower vegetables",Wild radish,Raphanus raphanistrum,Annual,,4-9,Wild in zone 7,Full sun,Low - moderate,Spring - early summer,2,2,3,Leaves; flowers; pods,Status: wild naturalized. Tastiness: mainly considered useful rather than notably tasty. Flavor: peppery and often coarse. Best prep: use only the youngest greens and tender pods. Cautions: roots are usually not worthwhile.,Seed,No
Culinary herbs,Borage,Borago officinalis,Annual,,5-10,Reliable self-seeder,Full sun,Moderate,Summer,1,4,4,Young leaves; flowers,Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty in culinary use. Flavor: cucumber-like. Best prep: use flowers fresh and leaves very young or cooked. Cautions: older leaves are hairy and coarse.,Seed,No
Culinary herbs,Celery,Apium graveolens,Biennial,,6-9,Locally reliable self-seeder,Full sun,Moderate - moist,Summer - fall,2,4,3,Leaves; stems; seeds,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: classic celery flavor. Best prep: volunteers are often best used for leaf celery, soup greens, and seed rather than thick blanching stalks. Cautions: wild-type volunteers can be stringier than selected cultivars.",Seed,No
Culinary herbs,Chervil,Anthriscus cerefolium,Annual,,4-8,Reliable self-seeder,Part shade,Moderate,Spring; fall,1,4,4,Leaves,Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: delicate anise-parsley flavor. Best prep: best cut young in cool weather and used fresh. Cautions: fades quickly in heat.,Seed,No
Culinary herbs,Cilantro / coriander,Coriandrum sativum,Annual,,4-10,Reliable self-seeder,Full sun - part shade,Moderate,Spring - early summer; fall,1,5,5,Leaves; green seeds; dry seeds,"Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: bright, citrusy, herbal. Best prep: use leaves young, green seeds fresh, and dry seeds as coriander spice. Notes: A classic self-sowing herb in cool-season windows..",Seed,No
Culinary herbs,Dill,Anethum graveolens,Annual,,2-10,Reliable self-seeder,Full sun,Moderate,Spring - summer,1,5,4,Leaves; flowers; green seeds; dry seeds,"Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: fresh, feathery, aromatic. Best prep: harvest leaves repeatedly and allow some umbels to mature for reseeding and spice use.",Seed,No
Culinary herbs,Parsley,Petroselinum crispum,Biennial,,5-9,Locally reliable self-seeder,Sun - part shade,Moderate,Spring - fall,1,5,5,Leaves; stems; roots in some forms,"Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: clean, green, celery-like. Best prep: cut outer stems repeatedly; let some second-year plants seed to maintain the patch. Cautions: second-year plants turn coarse once flowering advances.",Seed,No
Culinary herbs,Shiso / perilla,Perilla frutescens,Annual,,5-10,Volunteer risk,Full sun - part shade,Moderate,Summer - fall,1,4,5,Leaves; young seed clusters; seeds,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty in culinary use. Flavor: distinctive cinnamon-basil-mint note. Best prep: use fresh leaves, wraps, pickles, or tempura; harvest before plants get tough. Cautions: can reseed aggressively in some gardens.",Seed,No
"Tea, spice & sweetener herbs",Caraway,Carum carvi,Biennial,,4-8,Locally reliable self-seeder,Full sun,Moderate,Spring leaves; summer seeds,2,4,3,Leaves; roots; seeds,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: rye-bread, warm spice flavor. Best prep: use spring leaves fresh, first-year roots cooked, and second-year seeds dried.",Seed,No
"Tea, spice & sweetener herbs",German chamomile,Matricaria chamomilla,Annual,,4-9,Reliable self-seeder,Full sun,Moderate,Summer,2,4,4,Flowers; young leaves,Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty in culinary use. Flavor: apple-like floral tea. Best prep: pick flowers frequently and dry promptly for tea.,Seed,No
"Tea, spice & sweetener herbs",Nigella / black cumin,Nigella sativa,Annual,,5-9,Reliable self-seeder,Full sun,Low - moderate,Summer,2,4,3,Seeds; flowers,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: onion-oregano-pepper spice note. Best prep: let pods dry fully, then thresh seeds for spice use.",Seed,No
Legumes & protein crops,Common vetch,Vicia sativa,Annual,,5-9,Wild in zone 7,Full sun,Moderate,Spring,2,2,2,Young shoots; flowers,"Status: wild naturalized and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: pea-like shoots, mild flowers. Best prep: use only young tips or flowers rather than mature dry seed. Cautions: mature seeds are not a preferred staple human food.",Seed,Yes
Legumes & protein crops,Crimson clover,Trifolium incarnatum,Annual/biennial,,5-9,Reliable self-seeder,Full sun,Moderate,Spring,1,2,2,Leaves; flowers,"Status: cultivated and wild naturalized. Tastiness: mainly considered useful rather than notably tasty. Flavor: mild, green, slightly sweet blossoms. Best prep: use young leaves sparingly and flowers in teas or salads. Cautions: mostly a cover crop with minor food use.",Seed,Yes
Legumes & protein crops,Hairy vetch,Vicia villosa,Annual/biennial,,4-8,Wild in zone 7,Full sun,Moderate,Spring,2,1,1,Young shoots; flowers,"Status: wild naturalized and cultivated. Tastiness: mainly a survival food or only marginally palatable. Flavor: minor, green, pea-like. Best prep: if used at all, keep to small amounts of very young shoots or flowers. Cautions: grown mainly as a cover crop; not usually treated as a human food staple.",Seed,Yes
"Grains, seeds & pseudocereals",Grain amaranth,Amaranthus cruentus,Annual,,5-10,Locally reliable self-seeder,Full sun,Low - moderate,Late summer - fall,4,3,4,Seeds; leaves,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: nutty seeds, spinach-like leaves. Best prep: cut young leaves freely or let seedheads mature and thresh for grain. Cautions: grain harvest is more laborious than leaf use.",Seed,No
"Grains, seeds & pseudocereals",Sunflower,Helianthus annuus,Annual,,4-9,Reliable self-seeder,Full sun,Low - moderate,Late summer - fall,3,5,4,Seeds; buds; petals,Status: cultivated and wild naturalized. Tastiness: widely regarded as highly tasty. Flavor: nutty seeds and artichoke-like buds. Best prep: dry heads thoroughly for seeds; immature buds can be steamed like small artichokes. Cautions: seed quality varies in volunteers from hybrid stock.,Seed,No
Succulent/xeric edibles,Purslane,Portulaca oleracea,Succulent annual,,5-10,Volunteer risk,Full sun,Low,Summer - fall,1,5,5,Leaves; stems; seed,"Status: wild naturalized and cultivated. Tastiness: widely regarded as highly tasty. Flavor: lemony, juicy, slightly salty. Best prep: use fresh in salads, quick pickles, or brief sautees while stems are tender. Cautions: can spread densely in hot beds and paths.",Seed,No
